Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:57:23,0.96,153.38,1.11,1537.90,1474.00
2024-07-19 22:57:23,0.96,153.33,1.11,1534.80,1474.00
2024-07-19 22:57:23,0.96,153.44,1.11,1537.60,1474.00
2024-07-19 22:57:23,0.96,153.38,1.11,1535.80,1474.00
2024-07-19 22:57:23,0.96,153.34,1.12,1536.70,1474.00
2024-07-19 22:57:23,0.96,153.61,1.11,1535.90,1474.00
2024-07-19 22:57:23,0.96,153.35,1.11,1537.10,1474.00
2024-07-19 22:57:23,0.96,153.36,1.11,1536.30,1474.00
2024-07-19 22:57:24,0.96,153.49,1.11,1535.90,1482.00
2024-07-19 22:57:24,0.96,153.42,1.11,1535.50,1468.00
2024-07-19 22:57:24,0.96,153.66,1.11,1535.30,1482.00
2024-07-19 22:57:24,0.96,153.39,1.12,1534.80,1474.00
2024-07-19 22:57:24,0.96,153.56,1.11,1535.00,1474.00
2024-07-19 22:57:24,0.96,153.62,1.11,1535.60,1474.00
2024-07-19 22:57:24,0.96,153.60,1.11,1533.70,1474.00
2024-07-19 22:57:24,0.96,153.35,1.12,1534.80,1482.00
2024-07-19 22:57:24,0.96,153.36,1.11,1536.10,1474.00
2024-07-19 22:57:24,0.96,153.36,1.11,1537.40,1474.00
2024-07-19 22:57:24,0.96,153.58,1.11,1534.50,1468.00
2024-07-19 22:57:25,0.96,153.34,1.11,1534.70,1474.00
2024-07-19 22:57:25,0.96,153.37,1.11,1537.70,1472.00
2024-07-19 22:57:25,0.96,153.35,1.11,1534.30,1474.00
2024-07-19 22:57:25,0.96,153.38,1.11,1536.90,1468.00
2024-07-19 22:57:25,0.96,153.39,1.12,1536.70,1474.00
2024-07-19 22:57:25,0.96,153.37,1.12,1536.10,1474.00
2024-07-19 22:57:25,0.96,153.56,1.11,1533.50,1472.00
2024-07-19 22:57:25,0.96,153.48,1.11,1534.40,1474.00
2024-07-19 22:57:25,0.96,153.55,1.11,1533.80,1468.00
2024-07-19 22:57:25,0.96,153.37,1.11,1535.10,1474.00
2024-07-19 22:57:25,0.96,153.38,1.11,1536.70,1472.00
2024-07-19 22:57:25,0.96,153.37,1.11,1534.90,1482.00
2024-07-19 22:57:25,0.96,153.33,1.11,1535.70,1474.00
2024-07-19 22:57:25,0.96,153.36,1.11,1535.10,1474.00
2024-07-19 22:57:25,0.96,153.37,1.11,1537.00,1468.00
2024-07-19 22:57:26,0.96,153.55,1.11,1537.40,1464.00
2024-07-19 22:57:26,0.96,153.54,1.11,1535.90,1468.00
2024-07-19 22:57:26,0.96,153.57,1.11,1534.40,1472.00
2024-07-19 22:57:26,0.96,153.37,1.11,1533.90,1468.00
2024-07-19 22:57:26,0.96,153.34,1.11,1537.00,1472.00
2024-07-19 22:57:26,0.96,153.38,1.11,1536.20,1474.00
2024-07-19 22:57:26,0.96,153.38,1.11,1535.30,1474.00
2024-07-19 22:57:26,0.96,153.32,1.11,1534.80,1482.00
2024-07-19 22:57:26,0.96,153.39,1.11,1536.60,1474.00
2024-07-19 22:57:26,0.96,153.59,1.12,1537.40,1474.00
